Key,Context,English,Deutsch,Français,中文,Español,Polski,Русский,日本,한국어
AUTOMATIC_WORD,Menu element,Tự động,Automatisch,Automatique,自动,Automático,Automatycznie,Авто,オート,자동
LOADING_SCREEN_LOADING,Loading screen message,"Đang tải, Vui lòng chờ...","Lädt, bitte warten ...","Chargement, merci de patienter…","加载中,请稍等……","Cargando. Espera, por favor…","Wczytywanie, czekaj...","Идет загрузка, пожалуйста, подождите...",ロード中…,불러오는 중입니다. 기다려 주세요...
NEW_GAME,Menu element,Trò chơi mới,Neues Spiel,Nouvelle partie,新游戏,Nueva partida,Nowa gra,Новая игра,ニューゲーム,새로운 게임
NEW_GAME_TUTORIAL,Menu element,Phát lại hướng dẫn,Tutorial wiederholen,Rejouer le tutoriel,重玩教程,Repetir el tutorial,Powtórz samouczek,Пройти обучение,チュートリアル,튜토리얼 다시 플레이
SETTINGS_WORD,Menu element,Cài đặt,Einstellungen,Options,设置,Ajustes,Ustawienia,Настройки,設定,설정
CONFIRM_WORD,Menu element,Xác nhận,Bestätigen,Confirmer,确认,Confirmar,OK,Подтвердить,決定,확인
CONTINUE_WORD,Menu element,Tiếp tục,Fortsetzen,Continuer,继续,Continuar,Kontynuuj,Продолжить,コンティニュー,계속하기
INTERFACE_SCALE,Menu element,Tỷ lệ giao diện,Anzeigengröße,Échelle de l’interface,界面比例,Escala de la interfaz,Skala interfejsu,Масштаб интерфейса,UIのサイズ,인터페이스 크기
TERRAFORMING_PANEL_TITLE,Menu element,Địa khai hóa,Terraforming,Terraformation,正在进行类地化改造,Terraformar,Terraformowanie,Терраформирование,テラフォーミング,테라포밍
CLOSE_WORD,Menu element,Đóng,Schließen,Fermer,关闭,Cerrar,Zamknij,Закрыть,閉じる,닫기
LANGUAGE_WORD,Menu element,Ngôn ngữ,Sprache,Langue,语言设置,Idioma,Język,Язык,言語,언어
MAIN_MENU,Menu element,Menu chính,Hauptmenü,Menu principal,主菜单,Menú principal,Menu główne,Главное меню,メインメニュー,메인 메뉴
SETTINGS_WINDOWED,ome,Có cửa sổ,Fenster,Fenêtré,窗口化,Ventana,W oknie,Оконный,ウィンドウモード,창 모드
FEEDBACK_TITLE,Menu element,Phản hồi,Feedback,Donnez votre avis,意见反馈,Comentarios,Opinie,Отзыв,フィードバック,피드백
QUIT_WORD,Menu element,Thoát,Beenden,Quitter,退出,Salir,Wyjście,Выйти,終了,종료
SCREEN_RESOLUTION,Menu element,Độ phân giải trò chơi,Spielauflösung,Résolution du jeu,游戏分辨率,Resolución,Rozdzielczość gry,Разрешение,解像度,게임 해상도
MOUSE_SENSITIVITY,Menu element,Độ nhạy chuột,Mausempfindlichkeit,Sensibilité de la souris,鼠标灵敏度,Sensibilidad del ratón,Czułość myszy,Чувствительность мыши,マウス感度,마우스 감도
ZOOM_SPEED,Menu element,Tốc độ thu phóng,Zoomtempo,Vitesse du zoom,缩放速度,Velocidad del zoom,Szybkość powiększania,Скорость камеры,ズーム速度,확대/축소 속도
MUSIC_VOLUME,Menu element,Âm lượng nhạc,Musiklautstärke,Volume de la musique,音乐音量,Volumen de música,Głośność muzyki,Музыка,音量（音楽）,음악 볼륨
SFX_VOLUME,Menu element,Âm lượng Sfx,SFX-Lautstärke,Volume des bruitages,音效音量,Volumen de efectos,Głośność efektów,Эффекты,音量（効果音）,음향 효과 볼륨
MASTER_VOLUME,Menu element,Âm lượng tổng,Hauptlautstärke,Volume principal,主音量,Volumen general,Głośność ogólna,Громкость,音量（全体）,마스터 볼륨
BREAKDOWN_SOURCE_EARTH,UI element. Mouse hover tooltip giving a breakdown of a resource total.,Từ trái đất,Von der Erde,En provenance de la Terre,来自地球,De la Tierra,Ziemia,С Земли,地球から,지구에서
BREAKDOWN_SOURCE_NONE,UI element. Mouse hover tooltip giving a breakdown of a resource total.,Chưa có gì,Noch nichts,Rien pour le moment,未有进展,Aún nada,Brak,Пока ничего,なし,아직 아무것도 없습니다
CANCEL_WORD,Generic Button,Hủy bỏ,Abbrechen,Annuler,取消,Cancelar,Anuluj,Отмена,キャンセル,취소
CARD_DRAW_COST,Popup UI Element. {0}: number {1}: icon,Chi phí để giữ: {0} {1},Kosten fürs Behalten: {0} {1},Coût pour conserver : {0} {1},维持开支：{0}{1},Coste de mantenimiento: {0} {1},Utrzymanie: {0} {1},Затраты на содержание: {0} {1},維持コスト：{0} {1},유지 비용: {0} {1}
CARD_DRAW_EXTRA_PROPOSAL,"Popup UI Element. Lets the player buy an aditional ""Project proposal"" slot",Đề xuất thêm,Weiterer Vorschlag,Proposition supplémentaire,额外提案,Propuesta adicional,Dodatkowa oferta,Дополнительное предложение,追加の提案,추가 제안
CARD_DRAW_TITLE,Popup UI Element.,Dự án nghiên cứu,Projekte erforschen,Projets de recherche,研究工程项目,Investigar proyectos,Projekty badawcze,Изучение технологий,研究プロジェクト,프로젝트 연구
CARD_DRAW_NOMORECARD,Settings menu label,Không còn dự án nào,Keine Projekte übrig,Aucun projet restant,已无工程项目,No quedan proyectos,Brak projektów,Нет доступных технологий,プロジェクトなし,남은 프로젝트가 없습니다
CARD_DROP_ERROR_REGIONAL,Mouse hover tooltip warning.,Dự án này phải được đặt bên trong thành phố.,Dieses Projekt muss in einer Stadt platziert werden.,Ce projet doit être placé dans une ville.,此工程项目必须放置在城市内。,Este proyecto ha de llevarse a cabo dentro de una ciudad.,Ten projekt musi być umieszczony w mieście.,Эту технологию можно применять только в городе.,このプロジェクトは都市内に設置してください。,이 프로젝트는 도시 안에 배치되어야 합니다.
CARD_DROP_ERROR_OCCUPIED,Mouse hover tooltip warning.,Chỗ này đã được sử dụng.,Dieser Platz ist bereits besetzt.,Cet emplacement est déjà occupé.,此地段已被占用。,Este espacio ya está ocupado.,To miejsce jest już zajęte.,Ячейка уже занята.,このスロットは使用中です。,이 슬롯은 이미 사용 중입니다.
CARD_DROP_ERROR_BUILDING,Mouse hover tooltip warning.,Dự án này phải được đặt trên hành tinh [!LOCATION].,Dieses Projekt muss an einem [!LOCATION:SG:D] auf dem Planeten platziert werden.,Ce projet doit être placé sur un [!LOCATION] planétaire.,此工程项目必须放置在星球上[!LOCATION]。,Este proyecto ha de llevarse a cabo en un planeta [!LOCATION].,Ten projekt musi być umieszczony na planecie [!LOCATION].,Эту технологию можно применять только в следующей области: [!LOCATION].,このプロジェクトは惑星[!LOCATION]に設置してください。,이 프로젝트는 행성 [!LOCATION]에 배치되어야 합니다.
CARD_DROP_ERROR_RESOURCE,Mouse hover tooltip warning.,Chỉ có thể được đặt trên trầm tích tài nguyên.,Kann nur auf einem Ressourcenvorkommen platziert werden.,Doit être placé sur un gisement de ressource.,只可放置在资源矿床。,Solo se puede colocar en un yacimiento de recursos.,Wymagane złoże zasobów!,Можно разместить только на месторождении ресурсов.,設置できるのは資源鉱床のみです。,이 프로젝트는 자원 매장지에 배치되어야 합니다.
CARD_DROP_ERROR_ROCK,Mouse hover tooltip warning.,"Không thể xây dựng ở đây, tảng đá đang chặn.","Hier kann nicht gebaut werden, da ein Felsen im Weg ist.",Construction bloquée par un rocher.,有石头阻碍，不可在此建造。,No se puede construir aquí; una roca bloquea el terreno.,Skała uniemożliwia budowę!,Скала не дает начать строительство на этом участке.,岩で塞がれているため、ここには建てられません。,여기에 건설할 수 없습니다. 바위에 막혀 있습니다.
CARD_DROP_ERROR_SANDSTORM,Mouse hover tooltip warning.,Bão cát hoạt động trong vùng.,In dem Gebiet wütet ein Sandsturm.,Une tempête de sable fait rage dans la zone.,该区域有沙尘暴。,Hay una tormenta de arena en la zona.,W okolicy trwa pustynna burza.,В области свирепствует песчаная буря.,このエリアでは砂嵐が起こります。,해당 지역에 모래 폭풍이 불고 있습니다.
